Company ID,Address,City,Zip Code,Company Name,Industry,Latitude,Longitude,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due Date,Contact Status,Close Probability,Priority Score,UrgencyBand,Urgency Score,Totals
CID-10X101,"402 S Walnut St, Winnsboro, TX 75494",Winnsboro,75494,10x construction,Construction,32.9536953,-95.2896481,Not Contacted,01/13/2026,24,-10,01/27/2026,Interested (Warm),0.2,70,Medium,65,102
CID-1ST101,"300 Beaulah St, Hawkins, TX 75765",Hawkins,75765,1st rate appliance repair,Appliance,32.5901886,-95.2046902,Not Contacted,,,30,03/08/2026,Cold,0,50,High,85,39
CID-2MA101,"4064 S Broadway Ave, Tyler, TX 75701",Tyler,75701,2m automotive,Automotive,32.305281,-95.2989375,Not Contacted,,,30,03/08/2026,Cold,0,70,High,85,42.6
CID-360101,"611 S Trade Days Blvd, Canton, TX 75103",Canton,75103,360 metal buildings,Metal Fabrication,32.55213547,-95.8625412,Not Contacted,,,30,03/08/2026,Cold,0,90,High,85,46.2
CID-64W101,"12367 State Highway 64 W, Tyler, TX 75704",Tyler,75704,64 west building materials,Construction,32.3583187,-95.3720415,Disqualified,11/14/2025,84,-84,11/14/2025,Disqualified,0,21,Low,25,72.6
CID-903101,"13872 FM 14, Tyler, TX 75706",Tyler,75706,903 hvac,HVAC,32.4659231,-95.2831766,Not Contacted,,,30,03/08/2026,Cold,0,70,High,85,42.6
CID-903102,"330 S Vaughn Ave, Tyler, TX 75702",Tyler,75702,903 plumbing,Plumbing,32.3477823,-95.3372541,Initial Contact,12/23/2025,45,-15,01/22/2026,Interested (Warm),0.2,50,Low,25,90
CID-ABW101,"5201 W Marshall Ave, Longview, TX 75604",Longview,75604,a b welding,Welding,32.5104367,-94.8122799,Not Contacted,,,30,03/08/2026,Cold,0,50,High,85,42.6
CID-AJR101,"510 Limerick St, Tyler, TX 75703",Tyler,75703,a j roofinf construction,Roofing,32.2341382,-95.3511884,Interested (Warm),11/12/2025,86,-72,11/26/2025,Interested (Warm),0.4,21,Low,25,72.6
CID-AKA101,"301 TX-31 W, Kilgore, TX 75662",Kilgore,75662,a k appliance,Appliance,32.3960845,-94.8831141,Not Contacted,,,30,03/08/2026,Cold,0,50,High,85,39
CID-APL101,"4547 Cantina Dr, Tyler, TX 75708",Tyler,75708,a plus commercial kitchens,Other,32.3843195,-95.2657393,Not Contacted,,,30,03/08/2026,Cold,0,50,High,85,39
CID-APL102,"116 Leisure Ln, Whitehouse, TX 75791",Whitehouse,75791,a plus plumbing,Plumbing,32.2099877,-95.2154959,Not Contacted,,,30,03/08/2026,Cold,0,70,High,85,42.6
