"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YNAC1AB551604C9FB8,All Star Fabrication Inc.,"University Dr, Tyler, TX 75701",https://www.bing.com/th?id=OLC.VhI5I8S/L5l76g480x360&pid=Local,https://www.bing.com/maps?cp=32.30067825317383%7E-95.32534790039062&lvl=16.0&q=All%20Star%20Fabrication%20Inc.%20%2C%20University%20Dr%2C%20Tyler%2C%20TX%2075701,32.30067825,-95.3253479,,,Business to business,,https://www.allstarfabtyler.com/,(903) 939-9040,,,,,
ypid:YN4D27916867BA255F,Holliday Sheet Metal Co,"4301 Old Troup Hwy, Tyler, TX 75707",https://www.bing.com/th?id=OLC.sdX0TXSPjP32WQ480x360&pid=Local,https://www.bing.com/maps?cp=32.30410385131836%7E-95.26636505126953&lvl=16.0&q=Holliday%20Sheet%20Metal%20Co%20%2C%204301%20Old%20Troup%20Hwy%2C%20Tyler%2C%20TX%2075707,32.30410385,-95.26636505,5,Yelp (2),Metal fabricator,Closed · Opens tomorrow 7:30 AM,http://www.hollidaysheetmetal.com/,(903) 561-3268,info@hollidaysheetmetal.com,,,,
ypid:YND46FBE801BD9B376,Tyler Steel Company,"1111 E Olive St, Tyler, TX 75702",https://www.bing.com/th?id=OLC.BuYVeXBt8HeaHw480x360&pid=Local,https://www.bing.com/maps?cp=32.3631706237793%7E-95.28828430175781&lvl=16.0&q=Tyler%20Steel%20Company%20%2C%201111%20E%20Olive%20St%2C%20Tyler%2C%20TX%2075702,32.36317062,-95.2882843,,,Metal fabricator,Closed · Opens tomorrow 7 AM,https://www.tylersteel.com/,(903) 595-4551,bhood@tylersteel.com,,,,
ypid:YN35EC6495CF0E8E23,Weld Worx LLC,"3220 FM-2767, Tyler, TX 75708",https://www.bing.com/th?id=OLC.kgKlDF4jbiPJ4A480x360&pid=Local,https://www.bing.com/maps?cp=32.35205078125%7E-95.26455688476562&lvl=16.0&q=Weld%20Worx%20LLC%20%2C%203220%20FM-2767%2C%20Tyler%2C%20TX%2075708,32.35205078,-95.26455688,,,Metal fabricator,Closed · Opens tomorrow 7 AM,https://www.weldworxtyler.com/,(903) 531-9353,,,,,
ypid:YN67E5809591E70667,Stainless Steel Fabricators,"11967 State Highway 64, Tyler, TX 75704",https://www.bing.com/th?id=OLC.ZzDgxLXTqiniRA480x360&pid=Local,https://www.bing.com/maps?cp=32.357582092285156%7E-95.36488342285156&lvl=16.0&q=Stainless%20Steel%20Fabricators%20%2C%2011967%20State%20Highway%2064%2C%20Tyler%2C%20TX%2075704,32.35758209,-95.36488342,,,Metal fabricator,Closes in 3 mins,https://ssftexas.com/,(903) 595-6625,"info@ssftexas.com,gk@ssftexas.com,rk@ssftexas.com,amy@ssftexas.com",,,,
ypid:YN4ACEF6A534BF781C,Heavy Metal Welding & Custom Fabrication,"219 S Glenwood Blvd, Tyler, TX 75702",https://www.bing.com/th?id=OLC.j5xY2GBd6qhnjQ480x360&pid=Local,https://www.bing.com/maps?cp=32.348594665527344%7E-95.3178939819336&lvl=16.0&q=Heavy%20Metal%20Welding%20%26%20Custom%20Fabrication%20%2C%20219%20S%20Glenwood%20Blvd%2C%20Tyler%2C%20TX%2075702,32.34859467,-95.31789398,,,Welders,Closed · Opens tomorrow 8 AM,https://www.heavymetalweldingtylertx.com/,(903) 944-7986,,"https://www.heavymetalweldingtylertx.com/\""https://www.facebook.com/people/heavy-metal-welding-and-fab/100057278417316/\""","https://www.heavymetalweldingtylertx.com/\""https://www.facebook.com/people/heavy-metal-welding-and-fab/100057278417316/\""",,
ypid:YN40789105E0936D4F,"Tyler Building Systems, L.P.","3535 Shiloh Rd, Tyler, TX 75707",https://www.bing.com/th?id=OLC.99X100JeWiuvTQ480x360&pid=Local,https://www.bing.com/maps?cp=32.29471969604492%7E-95.25236511230469&lvl=16.0&q=Tyler%20Building%20Systems%2C%20L.P.%20%2C%203535%20Shiloh%20Rd%2C%20Tyler%2C%20TX%2075707,32.2947197,-95.25236511,,,Metal fabricator,Closes in 3 mins,http://www.tylerbuilding.com/,(903) 561-3000,"jmorris@tylerbuilding.com,kneuman@tylerbuilding.com,jromines@tylerbuilding.com,bcurtis@tylerbuilding.com,jdavlin@tylerbuilding.com,phowell@tylerbuilding.com,bjohnson@tylerbuilding.com,spenney@tylerbuilding.com,gpirtle@tylerbuilding.com,dwilson@tylerbuilding.com,custserv@tylerbuilding.com,info@tylerbuilding.com","https://www.linkedin.com/company/tyler-building-systems-lp,https://www.instagram.com/tylerbuildingsystems/,https://www.facebook.com/staci.dees.1/posts/720363962352674,https://www.yelp.com/biz/tyler-building-systems-lp-tyler,https://twitter.com/tbsbradc",https://www.facebook.com/staci.dees.1/posts/720363962352674,https://www.instagram.com/tylerbuildingsystems/,https://twitter.com/tbsbradc
ypid:YN31E2D0E6D2C4676B,Squiers Metal Fabrication Inc,"16421 FM 756, Tyler, TX 75703",,https://www.bing.com/maps?cp=32.24132537841797%7E-95.27180480957031&lvl=16.0&q=Squiers%20Metal%20Fabrication%20Inc%20%2C%2016421%20FM%20756%2C%20Tyler%2C%20TX%2075703,32.24132538,-95.27180481,,,Metal fabricator,Closed · Opens tomorrow 7 AM,https://www.smetalfab.com/,(903) 595-2899,John@smetalfab.com,,,,
ypid:YNC0FF177F8618407B,Trac Ornamental Iron Inc,"536 S Glenwood Blvd, Tyler, TX 75702",,https://www.bing.com/maps?cp=32.343955993652344%7E-95.31212615966797&lvl=16.0&q=Trac%20Ornamental%20Iron%20Inc%20%2C%20536%20S%20Glenwood%20Blvd%2C%20Tyler%2C%20TX%2075702,32.34395599,-95.31212616,5,Yelp (4),Iron work,Closed · Opens tomorrow 8 AM,,(903) 593-0297,,,,,
ypid:YN3519A10F0D4F4D4A,Lone Star Sheet Metal Works,"1913 Brandon Dr, Tyler, TX 75703",,https://www.bing.com/maps?cp=32.2662239074707%7E-95.27862548828125&lvl=16.0&q=Lone%20Star%20Sheet%20Metal%20Works%20%2C%201913%20Brandon%20Dr%2C%20Tyler%2C%20TX%2075703,32.26622391,-95.27862549,,,Metal fabricator,,,(903) 561-3689,david@lonestarfence.com,,,,
